1,SWCI,2025-01-26,397
1,ELO,2025-01-26,386
1,Massey,2025-01-26,59
1,SWCI,2025-02-02,397
1,ELO,2025-02-02,78
1,Massey,2025-02-02,301
1,SWCI,2025-02-08,84
1,ELO,2025-02-08,152
1,Massey,2025-02-08,308
1,SWCI,2025-02-09,118
1,ELO,2025-02-09,360
1,Massey,2025-02-09,381
1,SWCI,2025-02-12,118
1,ELO,2025-02-12,352
1,Massey,2025-02-12,378
1,SWCI,2025-02-16,132
1,ELO,2025-02-16,352
1,Massey,2025-02-16,387
1,SWCI,2025-02-17,131
1,ELO,2025-02-17,343
1,Massey,2025-02-17,355
1,SWCI,2025-02-22,159
1,ELO,2025-02-22,339
1,Massey,2025-02-22,351
1,SWCI,2025-02-23,162
1,ELO,2025-02-23,338
1,Massey,2025-02-23,373
1,SWCI,2025-03-02,259
1,ELO,2025-03-02,326
1,Massey,2025-03-02,261
1,SWCI,2025-03-08,265
1,ELO,2025-03-08,376
1,Massey,2025-03-08,208
1,SWCI,2025-03-09,270
1,ELO,2025-03-09,375
1,Massey,2025-03-09,206
1,SWCI,2025-03-15,285
1,ELO,2025-03-15,375
1,Massey,2025-03-15,270
1,SWCI,2025-03-16,287
1,ELO,2025-03-16,374
1,Massey,2025-03-16,224
1,SWCI,2025-03-23,304
1,ELO,2025-03-23,373
1,Massey,2025-03-23,242
1,SWCI,2025-03-29,316
1,ELO,2025-03-29,365
1,Massey,2025-03-29,213
1,SWCI,2025-03-30,315
1,ELO,2025-03-30,364
1,Massey,2025-03-30,212
2,SWCI,2025-01-26,94
2,ELO,2025-01-26,26
2,Massey,2025-01-26,351
2,SWCI,2025-02-02,156
2,ELO,2025-02-02,64
2,Massey,2025-02-02,77
2,SWCI,2025-02-08,16
2,ELO,2025-02-08,154
2,Massey,2025-02-08,83
2,SWCI,2025-02-09,15
2,ELO,2025-02-09,22
2,Massey,2025-02-09,318
2,SWCI,2025-02-12,15
2,ELO,2025-02-12,27
2,Massey,2025-02-12,321
2,SWCI,2025-02-16,16
2,ELO,2025-02-16,28
2,Massey,2025-02-16,349
2,SWCI,2025-02-17,16
2,ELO,2025-02-17,30
2,Massey,2025-02-17,258
2,SWCI,2025-02-22,20
2,ELO,2025-02-22,32
2,Massey,2025-02-22,250
2,SWCI,2025-02-23,20
2,ELO,2025-02-23,32
2,Massey,2025-02-23,286
2,SWCI,2025-03-02,25
2,ELO,2025-03-02,41
2,Massey,2025-03-02,83
2,SWCI,2025-03-08,39
2,ELO,2025-03-08,59
2,SWCI,2025-03-09,69
2,ELO,2025-03-09,60
2,Massey,2025-03-09,59
2,SWCI,2025-03-15,71
2,ELO,2025-03-15,70
2,Massey,2025-03-15,112
2,SWCI,2025-03-16,70
2,ELO,2025-03-16,73
2,Massey,2025-03-16,60
2,SWCI,2025-03-23,67
2,ELO,2025-03-23,79
2,Massey,2025-03-23,82
2,SWCI,2025-03-29,69
2,ELO,2025-03-29,89
2,Massey,2025-03-29,56
2,SWCI,2025-03-30,69
2,ELO,2025-03-30,89
2,Massey,2025-03-30,54
3,SWCI,2025-01-26,93
3,ELO,2025-01-26,27
3,Massey,2025-01-26,58
3,SWCI,2025-02-02,155
3,ELO,2025-02-02,65
3,Massey,2025-02-02,60
3,SWCI,2025-02-08,153
3,ELO,2025-02-08,155
3,Massey,2025-02-08,366
3,SWCI,2025-02-09,165
3,ELO,2025-02-09,389
3,Massey,2025-02-09,391
3,SWCI,2025-02-12,165
3,ELO,2025-02-12,384
3,Massey,2025-02-12,392
3,SWCI,2025-02-16,184
3,ELO,2025-02-16,384
3,Massey,2025-02-16,394
3,SWCI,2025-02-17,183
3,ELO,2025-02-17,383
3,Massey,2025-02-17,381
3,SWCI,2025-02-22,225
